# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:dens[1]-dens[1]        7:dens[1]-dens[2]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[3]-dens[3]       11:T-dens[1]             12:T-dens[2]             13:T-dens[3]          
    2       1.471162856332e-10       7.400285663943e-15       4.790912992311e-13       0.000000000000e+00       9.227011786055e-07       5.710388015723e-07       4.216421080063e-07       2.596830019334e-07       2.079355416937e-07       5.693554272986e-09       3.848694072940e-09       2.446947613071e-09 
    3       1.387168733563e-10       1.265671900742e-14       6.067819145061e-13       0.000000000000e+00       2.308278805885e-06       1.437841188129e-06       1.053597620732e-06       6.507672740870e-07       5.111065032113e-07       7.756190913977e-09       5.295210895332e-09       3.390898523258e-09 
    4       1.303941900811e-10       1.491693862449e-14       6.302795115635e-13       0.000000000000e+00       4.545231883915e-06       2.852054579920e-06       2.088006329144e-06       1.295390620559e-06       1.008124128715e-06       9.528772498160e-09       6.571430368047e-09       4.241849154644e-09 
    5       1.237916113828e-10       1.393569078036e-14       5.924519403407e-13       0.000000000000e+00       7.752158292986e-06       4.900789245267e-06       3.595738334187e-06       2.242028176415e-06       1.738092657454e-06       1.106811923694e-08       7.709687598188e-09       5.018310673134e-09 
    6       1.189192958181e-10       1.087137254790e-14       5.231423708276e-13       0.000000000000e+00       1.201032195887e-05       7.648900782031e-06       5.632854593419e-06       3.530729409578e-06       2.734507776113e-06       1.241196675965e-08       8.730700981558e-09       5.730479242211e-09 
    7       1.155249008804e-10       7.285367676666e-15       4.426832353412e-13       0.000000000000e+00       1.737034440562e-05       1.114236210715e-05       8.242398474432e-06       5.193937527181e-06       4.025601447758e-06       1.358934767851e-08       9.650460527017e-09       6.387122392941e-09 
    8       1.132233868656e-10       4.339861000442e-15       3.635247267886e-13       0.000000000000e+00       2.385774807970e-05       1.541116980768e-05       1.145606169587e-05       7.257306191833e-06       5.634776349171e-06       1.461848416085e-08       1.047617410799e-08       6.989977460908e-09 
    9       1.118224163832e-10       2.501667147063e-15       2.930854102181e-13       0.000000000000e+00       3.147753404143e-05       2.047181316347e-05       1.529566093507e-05       9.740449926883e-06       7.581043077225e-06       1.551032825505e-08       1.121297985718e-08       7.539947326549e-09 
   10       1.111225558948e-10       1.652192767956e-15       2.355351523752e-13       0.000000000000e+00       4.021798639207e-05       2.632937455879e-05       1.977443060462e-05       1.265761725234e-05       9.879432112798e-06       1.627834533428e-08       1.186939855700e-08       8.044119758396e-09 
   11       1.109458856552e-10       1.392483176100e-15       1.928140759385e-13       0.000000000000e+00       5.005385941395e-05       3.297932775753e-05       2.489815465733e-05       1.601829053870e-05       1.254137259321e-05       1.694532318234e-08       1.245871595833e-08       8.509905467542e-09 
   12       1.112368584518e-10       1.333864709666e-15       1.648493170926e-13       0.000000000000e+00       6.094906858583e-05       4.040908876188e-05       3.066616188193e-05       1.982772111425e-05       1.557503713664e-05       1.752699697055e-08       1.299227204086e-08       8.941724357230e-09 
   13       1.118225082651e-10       1.254599506603e-15       1.500746302571e-13       0.000000000000e+00       7.285897413228e-05       4.859936110370e-05       3.707220582964e-05       2.408740913518e-05       1.898565539804e-05       1.802019272759e-08       1.346687952602e-08       9.337589457376e-09 
   14       1.126321893112e-10       1.110330553022e-15       1.460238281975e-13       0.000000000000e+00       8.573232873446e-05       5.752530690113e-05       4.410524434083e-05       2.879553577741e-05       2.277580017773e-05       1.842689961523e-08       1.387606011647e-08       9.690485008101e-09 
   15       1.136727783385e-10       9.571714155389e-16       1.496743295836e-13       0.000000000000e+00       9.951294333614e-05       6.715756964116e-05       5.175013106025e-05       3.394735235411e-05       2.694564925149e-05       1.876695136236e-08       1.423217415960e-08       1.000489661171e-08 
   16       1.149018924020e-10       8.620957439359e-16       1.580165304089e-13       0.000000000000e+00       1.141411206906e-04       7.746317318964e-05       5.998823099035e-05       3.953553006243e-05       3.149322456636e-05       1.905107393562e-08       1.455205595514e-08       1.029845832074e-08 
   17       1.162331927752e-10       8.502936047959e-16       1.685356957400e-13       0.000000000000e+00       1.295548895112e-04       8.840631858647e-05       6.879797418451e-05       4.555047572149e-05       3.641460952713e-05       1.927390026776e-08       1.483270879483e-08       1.057481211838e-08 
