# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04434e-05 to 34.4277 h/Mpc,
# number of wavenumbers equal to 581
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044338378190e-05       3.342633941086e+01 
       2.333130303764e-05       6.487029604285e+01 
       3.626456150034e-05       9.949963306034e+01 
       4.927799485904e-05       1.345639105751e+02 
       6.240701531715e-05       1.688443699273e+02 
       7.568792769349e-05       2.038161475390e+02 
       8.915825563747e-05       2.391357272864e+02 
       1.028570823015e-04       2.744416769807e+02 
       1.168254098473e-04       3.102757850458e+02 
       1.311065421956e-04       3.467724902101e+02 
       1.457464954360e-04       3.840288530857e+02 
       1.607944402520e-04       4.221674241942e+02 
       1.763031805370e-04       4.613330566822e+02 
       1.923296720049e-04       5.016931093832e+02 
       2.089355839335e-04       5.433445770825e+02 
       2.261879060954e-04       5.865047515784e+02 
       2.441596012511e-04       6.313058083299e+02 
       2.629303010886e-04       6.779517928062e+02 
       2.825870399120e-04       7.266434270400e+02 
       3.032250153838e-04       7.775915947064e+02 
       3.249483588246e-04       8.310456721298e+02 
       3.478708885634e-04       8.872551489474e+02 
       3.721168082392e-04       9.465063632823e+02 
       3.978212975195e-04       1.009101138768e+03 
       4.251309254506e-04       1.075363326677e+03 
       4.542037971382e-04       1.145627719574e+03 
       4.852093240400e-04       1.220261308699e+03 
       5.183274894265e-04       1.299646722370e+03 
       5.537474676877e-04       1.384166212021e+03 
       5.916654550508e-04       1.474219625102e+03 
       6.322815873841e-04       1.570197925365e+03 
       6.757958660680e-04       1.672477093049e+03 
       7.224030918441e-04       1.781404959222e+03 
       7.722869207764e-04       1.897287223119e+03 
       8.256132990724e-04       2.020368685173e+03 
       8.825236860299e-04       2.150826038604e+03 
       9.431286065835e-04       2.288740688740e+03 
       1.007502149755e-03       2.434103462851e+03 
       1.075678013165e-03       2.586789505044e+03 
       1.147647569835e-03       2.746582376274e+03 
       1.223360212424e-03       2.913149047804e+03 
       1.302725951760e-03       3.086076867809e+03 
       1.385619970074e-03       3.264863111153e+03 
       1.471888614043e-03       3.448951772325e+03 
       1.561356198792e-03       3.637761247471e+03 
       1.653831991542e-03       3.830689209606e+03 
       1.749116833919e-03       4.027112409504e+03 
       1.847009008762e-03       4.226429861083e+03 
       1.947309120826e-03       4.428059401135e+03 
       2.049823909406e-03       4.631451620172e+03 
       2.154369025832e-03       4.836095684959e+03 
       2.260770884333e-03       5.041512512671e+03 
       2.368867734073e-03       5.247256836894e+03 
       2.478510111406e-03       5.452971256346e+03 
       2.589560823709e-03       5.658275626075e+03 
       2.701894597817e-03       5.862856721726e+03 
       2.815397503264e-03       6.066439612986e+03 
       2.929966237363e-03       6.268787254094e+03 
       3.045507338073e-03       6.469679675156e+03 
       3.161936372647e-03       6.668915070085e+03 
       3.279177135512e-03       6.866347190642e+03 
       3.397160877577e-03       7.061830310046e+03 
       3.515825580634e-03       7.255235762505e+03 
       3.635115284348e-03       7.446437764455e+03 
       3.754979468977e-03       7.635378527374e+03 
       3.875372493938e-03       7.821969373119e+03 
       3.996253090442e-03       8.006157840370e+03 
       4.117583905166e-03       8.187838595506e+03 
       4.239331091335e-03       8.367033265855e+03 
       4.361463943222e-03       8.543659698661e+03 
       4.483954570095e-03       8.717712365890e+03 
       4.606777605700e-03       8.889162412754e+03 
       4.729909949615e-03       9.057987116237e+03 
       4.853330537061e-03       9.224180928124e+03 
       4.977020134047e-03       9.387712663492e+03 
       5.100961155014e-03       9.548607988648e+03 
       5.225137500440e-03       9.706868925294e+03 
       5.349534412126e-03       9.862483089048e+03 
       5.474138344151e-03       1.001550785826e+04 
       5.598936847676e-03       1.016591046984e+04 
       5.723918468035e-03       1.031360270495e+04 
       5.849072652688e-03       1.045874493640e+04 
       5.974389668808e-03       1.060127107664e+04 
       6.099860529404e-03       1.074127228264e+04 
       6.225476927025e-03       1.087869135578e+04 
       6.351231174180e-03       1.101358151310e+04 
       6.477116149748e-03       1.114591074258e+04 
       6.603125250698e-03       1.127578887522e+04 
       6.729252348555e-03       1.140313923613e+04 
       6.855491750083e-03       1.152805860504e+04 
       6.981838161740e-03       1.165054869204e+04 
       7.108286657509e-03       1.177062735717e+04 
       7.234832649736e-03       1.188830509512e+04 
       7.361471862671e-03       1.200364283412e+04 
       7.488200308436e-03       1.211608536413e+04 
       7.615014265164e-03       1.222668825387e+04 
       7.741910257091e-03       1.233503914106e+04 
       7.868885036417e-03       1.244109945630e+04 
       7.995935566744e-03       1.254491385098e+04 
       8.123059007952e-03       1.264644946042e+04 
       8.250252702366e-03       1.274583947224e+04 
       8.377514162088e-03       1.284304877580e+04 
       8.504841057398e-03       1.293806991015e+04 
       8.632231206107e-03       1.303096175147e+04 
       8.759682563781e-03       1.312176115311e+04 
       8.887193214760e-03       1.321050563574e+04 
       9.014761363898e-03       1.329717733327e+04 
       9.142385328955e-03       1.338175433101e+04 
       9.270063533586e-03       1.346433570684e+04 
       9.397794500883e-03       1.354491779701e+04 
       9.525576847403e-03       1.362353209277e+04 
       9.653409277665e-03       1.370020788268e+04 
       9.781290579052e-03       1.377493543138e+04 
       9.909219617106e-03       1.384774976368e+04 
       1.003719533117e-02       1.391875220199e+04 
       1.016521673033e-02       1.398787188846e+04 
       1.029328288971e-02       1.405514189603e+04 
       1.042139294698e-02       1.412060238341e+04 
       1.054954609914e-02       1.418422791901e+04 
       1.067774159953e-02       1.424611652899e+04 
       1.080597875507e-02       1.430619083378e+04 
       1.093425692366e-02       1.436455811664e+04 
       1.106257551183e-02       1.442116420920e+04 
       1.119093397245e-02       1.447611956978e+04 
       1.131933180272e-02       1.452936873050e+04 
       1.144776854222e-02       1.458098620080e+04 
       1.157624377113e-02       1.463093660670e+04 
       1.170475710854e-02       1.467926265912e+04 
       1.183330821093e-02       1.472600537457e+04 
       1.196189677072e-02       1.477116324276e+04 
       1.209052251493e-02       1.481474471115e+04 
       1.221918520393e-02       1.485677958843e+04 
       1.234788463031e-02       1.489727523425e+04 
       1.247662061774e-02       1.493627879431e+04 
       1.260539302005e-02       1.497378278962e+04 
       1.273420172024e-02       1.500982791304e+04 
       1.286304662966e-02       1.504440753478e+04 
       1.299192768719e-02       1.507754861208e+04 
       1.312084485851e-02       1.510927684188e+04 
       1.324979813543e-02       1.513959466592e+04 
       1.337878753524e-02       1.516852665950e+04 
       1.350781310015e-02       1.519609920905e+04 
       1.363687489673e-02       1.522231251450e+04 
       1.376597301546e-02       1.524720581715e+04 
       1.389510757027e-02       1.527076520365e+04 
       1.402427869810e-02       1.529303870433e+04 
       1.415348655858e-02       1.531402676520e+04 
       1.428273133367e-02       1.533373357328e+04 
       1.441201322736e-02       1.535219754808e+04 
       1.454133246540e-02       1.536941794860e+04 
       1.467068929510e-02       1.538541745642e+04 
       1.480008398506e-02       1.540022690119e+04 
       1.492951682504e-02       1.541383266056e+04 
       1.505898812581e-02       1.542627318591e+04 
       1.518849821898e-02       1.543757433020e+04 
       1.531804745694e-02       1.544772781320e+04 
       1.544763621277e-02       1.545581733966e+04 
       1.557726488019e-02       1.546370202085e+04 
       1.570693387353e-02       1.547056855656e+04 
       1.583664362769e-02       1.547654622747e+04 
       1.596639459822e-02       1.548114973362e+04 
       1.609618726127e-02       1.548451997366e+04 
       1.622602211371e-02       1.548682986275e+04 
       1.635589967316e-02       1.548829988431e+04 
       1.648582047810e-02       1.548913840594e+04 
       1.661578508796e-02       1.548918912988e+04 
       1.674579408327e-02       1.548778209945e+04 
       1.687584806580e-02       1.548533204193e+04 
       1.700594765871e-02       1.548187062035e+04 
       1.713609350673e-02       1.547741969256e+04 
       1.726628627638e-02       1.547250462235e+04 
       1.739652665615e-02       1.546624486037e+04 
       1.752681535677e-02       1.545915928635e+04 
       1.765715311143e-02       1.545035549188e+04 
       1.778754067605e-02       1.544203018771e+04 
       1.791797882955e-02       1.543261122276e+04 
       1.804846837419e-02       1.542119406709e+04 
       1.817901013583e-02       1.540967496933e+04 
       1.830960496431e-02       1.539710906729e+04 
       1.844025373374e-02       1.538445108065e+04 
       1.857095734293e-02       1.537061200343e+04 
       1.870171671573e-02       1.535587872856e+04 
       1.883253280144e-02       1.534032958537e+04 
       1.896340657521e-02       1.532456503012e+04 
       1.909433903850e-02       1.530761923470e+04 
       1.922533121952e-02       1.528984422569e+04 
       1.935638417370e-02       1.527159508158e+04 
       1.948749898414e-02       1.525212767891e+04 
       1.961867676219e-02       1.523228133550e+04 
       1.974991864791e-02       1.521184730047e+04 
       1.988122581061e-02       1.519089372050e+04 
       2.001259944948e-02       1.516838451986e+04 
       2.014404079409e-02       1.514587811999e+04 
       2.027555110504e-02       1.512271836275e+04 
       2.040713167456e-02       1.509924806189e+04 
       2.053878382717e-02       1.507537740256e+04 
       2.067050892033e-02       1.505049044765e+04 
       2.080230834512e-02       1.502487223432e+04 
       2.093418352697e-02       1.499847327802e+04 
       2.106613592638e-02       1.497049912959e+04 
       2.119816703967e-02       1.494346455550e+04 
       2.133027839978e-02       1.491539373774e+04 
       2.146247157702e-02       1.488730529825e+04 
       2.159474817996e-02       1.485843792684e+04 
       2.172710985628e-02       1.482910825284e+04 
       2.185955829360e-02       1.479911316577e+04 
       2.199209522044e-02       1.476834378198e+04 
       2.212472240715e-02       1.473638304684e+04 
       2.225744166686e-02       1.470478843069e+04 
       2.239025485649e-02       1.467380412793e+04 
       2.252316387780e-02       1.464135558495e+04 
       2.265617067839e-02       1.460827885998e+04 
       2.278927725288e-02       1.457355627743e+04 
       2.292248564396e-02       1.454018613151e+04 
       2.305579794361e-02       1.450640920158e+04 
       2.318921629429e-02       1.447133531427e+04 
       2.332274289013e-02       1.443647196240e+04 
       2.345637997829e-02       1.440107516066e+04 
       2.359012986022e-02       1.436491048997e+04 
       2.372399489303e-02       1.432771897171e+04 
       2.385797749090e-02       1.429103625247e+04 
       2.399208012654e-02       1.425393476076e+04 
       2.412630533265e-02       1.421763962089e+04 
       2.426065570350e-02       1.417979277075e+04 
       2.439513389651e-02       1.414035627031e+04 
       2.452974263387e-02       1.410264891961e+04 
       2.466448470426e-02       1.406418247738e+04 
       2.479936296461e-02       1.402520925093e+04 
       2.493438034187e-02       1.398450321161e+04 
       2.506953983493e-02       1.394598507863e+04 
       2.520484451652e-02       1.390498506788e+04 
       2.534029753519e-02       1.386457137578e+04 
       2.547590211743e-02       1.382398811046e+04 
       2.561166156972e-02       1.378310246126e+04 
       2.574757928080e-02       1.374200258328e+04 
       2.588365872393e-02       1.370065840561e+04 
       2.601990345922e-02       1.365924292674e+04 
       2.615631713609e-02       1.361795564934e+04 
       2.629290349579e-02       1.357610707666e+04 
       2.642966637401e-02       1.353246631877e+04 
       2.656660970357e-02       1.348990740558e+04 
       2.670373751720e-02       1.344709314116e+04 
       2.684105395049e-02       1.340433170737e+04 
       2.697856324482e-02       1.336116017342e+04 
       2.711626975052e-02       1.331785969953e+04 
       2.725417793003e-02       1.327424442149e+04 
       2.739229236131e-02       1.323075864472e+04 
       2.753061774122e-02       1.318755876222e+04 
       2.766915888917e-02       1.314350070832e+04 
       2.780792075077e-02       1.309803721812e+04 
       2.794690840176e-02       1.305427433114e+04 
       2.808612705196e-02       1.301006726214e+04 
       2.822558204945e-02       1.296539122828e+04 
       2.836527888486e-02       1.292054833784e+04 
       2.850522319589e-02       1.287549857070e+04 
       2.864542077193e-02       1.282963329118e+04 
       2.878587755891e-02       1.278443989816e+04 
       2.892659966432e-02       1.273974395543e+04 
       2.906759336245e-02       1.269436667422e+04 
       2.920886509984e-02       1.264884903949e+04 
       2.935042150088e-02       1.260318990076e+04 
       2.949226937379e-02       1.255669982127e+04 
       2.963441571664e-02       1.251138411626e+04 
       2.977686772386e-02       1.246486794376e+04 
       2.991963279276e-02       1.241932618101e+04 
       3.006271853056e-02       1.237342289170e+04 
       3.020613276159e-02       1.232753952805e+04 
       3.034988353477e-02       1.228116333591e+04 
       3.049397913157e-02       1.223412524089e+04 
       3.063842807411e-02       1.218780308061e+04 
       3.078323913382e-02       1.214195401485e+04 
       3.092842134029e-02       1.209566303497e+04 
       3.107398399069e-02       1.204920992728e+04 
       3.121993665951e-02       1.200186038657e+04 
       3.136628920873e-02       1.195587770419e+04 
       3.151305179859e-02       1.190948872525e+04 
       3.166023489868e-02       1.186187117482e+04 
       3.180784929968e-02       1.181597912996e+04 
       3.195590612562e-02       1.176937801118e+04 
       3.210441684670e-02       1.172192874825e+04 
       3.225339329275e-02       1.167515403515e+04 
       3.240284766735e-02       1.162841521187e+04 
       3.255279256263e-02       1.158162209759e+04 
       3.270324097482e-02       1.153559539041e+04 
       3.285420632055e-02       1.148792214288e+04 
       3.300570245401e-02       1.144194398023e+04 
       3.315774368499e-02       1.139531116989e+04 
       3.331034479778e-02       1.134844553737e+04 
       3.346352107116e-02       1.130070561532e+04 
       3.361728829939e-02       1.125388819550e+04 
       3.377166281429e-02       1.120727291890e+04 
       3.392666150860e-02       1.116051668674e+04 
       3.408230186049e-02       1.111377625803e+04 
       3.423860195953e-02       1.106699425948e+04 
       3.439558053405e-02       1.102013455794e+04 
       3.455325698002e-02       1.097430258156e+04 
       3.471165139164e-02       1.092714130230e+04 
       3.487078459362e-02       1.088002396353e+04 
       3.503067817538e-02       1.083338527234e+04 
       3.519135452726e-02       1.078688329462e+04 
       3.535283687883e-02       1.074028895856e+04 
       3.551514933961e-02       1.069372786665e+04 
       3.567831694219e-02       1.064716851082e+04 
       3.584236568800e-02       1.060107994823e+04 
       3.600732259604e-02       1.055489997649e+04 
       3.617321575456e-02       1.050809660696e+04 
       3.634007437612e-02       1.046192431440e+04 
       3.650792885624e-02       1.041463712210e+04 
       3.667681083580e-02       1.036918964186e+04 
       3.684675326770e-02       1.032278045475e+04 
       3.701779048792e-02       1.027642251425e+04 
       3.718995829148e-02       1.023012457219e+04 
       3.736329401363e-02       1.018312579934e+04 
       3.753783661670e-02       1.013691552530e+04 
       3.771362678319e-02       1.009139393436e+04 
       3.789070701547e-02       1.004532204827e+04 
       3.806912174282e-02       9.999171051201e+03 
       3.824891743640e-02       9.952218752113e+03 
       3.843014273275e-02       9.906702154878e+03 
       3.861284856687e-02       9.860897118859e+03 
       3.879708831544e-02       9.814461793613e+03 
       3.898291795133e-02       9.768650690880e+03 
       3.917039621047e-02       9.722660234991e+03 
       3.935958477209e-02       9.675897680361e+03 
       3.955054845392e-02       9.629884158136e+03 
       3.974335542356e-02       9.583920064892e+03 
       3.993807742780e-02       9.538142153766e+03 
       4.013479004175e-02       9.492208515645e+03 
       4.033357293975e-02       9.445899922517e+03 
       4.053451019039e-02       9.400601370312e+03 
       4.073769057829e-02       9.354782542605e+03 
       4.094320795551e-02       9.307968623237e+03 
       4.115116162595e-02       9.262266473829e+03 
       4.136165676638e-02       9.216035843522e+03 
       4.157480488843e-02       9.169982635132e+03 
       4.179072434631e-02       9.123949290030e+03 
       4.200954089569e-02       9.077850973984e+03 
       4.223138831001e-02       9.031900533572e+03 
       4.245640906142e-02       8.985994662259e+03 
       4.268475507436e-02       8.939948593580e+03 
       4.291658856129e-02       8.893215022821e+03 
       4.315208295139e-02       8.846481837323e+03 
       4.339142392460e-02       8.799988776992e+03 
       4.363481056553e-02       8.753593757058e+03 
       4.388245665405e-02       8.706987416662e+03 
       4.413459211199e-02       8.660265595332e+03 
       4.439146462884e-02       8.613393109077e+03 
       4.465334149311e-02       8.567058704261e+03 
       4.492051166088e-02       8.519596178780e+03 
       4.519328809836e-02       8.471946755647e+03 
       4.547201044250e-02       8.424666807594e+03 
       4.575704803142e-02       8.377022911638e+03 
       4.604880336690e-02       8.329309237665e+03 
       4.634771608273e-02       8.281240803404e+03 
       4.665426750824e-02       8.232781205446e+03 
       4.696898593402e-02       8.184791229406e+03 
       4.729245270980e-02       8.136229087987e+03 
       4.762530933221e-02       8.086867888700e+03 
       4.796826571511e-02       8.037505703028e+03 
       4.832210987844e-02       7.987664693832e+03 
       4.868771934632e-02       7.937401333389e+03 
       4.906607461385e-02       7.886139574566e+03 
       4.945827512877e-02       7.835306438789e+03 
       4.986555834474e-02       7.783654887162e+03 
       5.028932254297e-02       7.731305590863e+03 
       5.073115429761e-02       7.677747306766e+03 
       5.119286168841e-02       7.624364156596e+03 
       5.167651465378e-02       7.569572713105e+03 
       5.218449424519e-02       7.514286639638e+03 
       5.271955300582e-02       7.457701232708e+03 
       5.328488926750e-02       7.399330234195e+03 
       5.388423884693e-02       7.340177454771e+03 
       5.452198840588e-02       7.279839415071e+03 
       5.520331554591e-02       7.216699115161e+03 
       5.593436133683e-02       7.152271563672e+03 
       5.672244098420e-02       7.084442155901e+03 
       5.757629678758e-02       7.014531991301e+03 
       5.850639257840e-02       6.939726192602e+03 
       5.952523698015e-02       6.861170501337e+03 
       6.064769802934e-02       6.776387358110e+03 
       6.189122446356e-02       6.683971568325e+03 
       6.327580785120e-02       6.581589208843e+03 
       6.482340043442e-02       6.467560808384e+03 
       6.655637724308e-02       6.337512365013e+03 
       6.849462003702e-02       6.187798137422e+03 
       7.065116192839e-02       6.014224253504e+03 
       7.302731324637e-02       5.813119396343e+03 
       7.560948228140e-02       5.583091901039e+03 
       7.837015341704e-02       5.327427584002e+03 
       8.127342540703e-02       5.051529335676e+03 
       8.428245120759e-02       4.765830161407e+03 
       8.736522550163e-02       4.480923103811e+03 
       9.049708937032e-02       4.207830316869e+03 
       9.366057376854e-02       3.955226572270e+03 
       9.684398431351e-02       3.729290716958e+03 
       1.000397761648e-01       3.533905183093e+03 
       1.032431945506e-01       3.369221025842e+03 
       1.064512865600e-01       3.233164207689e+03 
       1.096622347422e-01       3.122472796054e+03 
       1.128749265697e-01       3.032489114084e+03 
       1.160886832038e-01       2.957081246308e+03 
       1.193030911673e-01       2.890891529584e+03 
       1.225178988169e-01       2.828108634017e+03 
       1.257329530161e-01       2.764696498152e+03 
       1.289481605232e-01       2.696640074109e+03 
       1.321634644954e-01       2.622070768089e+03 
       1.353788302075e-01       2.540227929983e+03 
       1.385942363767e-01       2.451935427259e+03 
       1.418096698951e-01       2.358763379860e+03 
       1.450251226306e-01       2.263543081366e+03 
       1.482405894850e-01       2.168875758122e+03 
       1.514560672138e-01       2.077614984931e+03 
       1.546715537092e-01       1.992027268358e+03 
       1.578870475638e-01       1.914037650733e+03 
       1.611025478054e-01       1.844688982117e+03 
       1.643180537342e-01       1.784457631717e+03 
       1.675335648243e-01       1.733204346781e+03 
       1.707490806624e-01       1.689824445192e+03 
       1.739646009106e-01       1.653128490492e+03 
       1.771801252826e-01       1.621545961757e+03 
       1.803956535290e-01       1.593445777246e+03 
       1.836111854284e-01       1.567311474051e+03 
       1.868267207805e-01       1.541564730204e+03 
       1.900422594027e-01       1.514973065924e+03 
       1.932578011267e-01       1.486420131772e+03 
       1.964733457967e-01       1.455406268001e+03 
       1.996888932680e-01       1.422209462288e+03 
       2.029044434054e-01       1.386915244265e+03 
       2.061199960828e-01       1.350253856974e+03 
       2.093355511819e-01       1.313216164384e+03 
       2.125511085918e-01       1.276619830788e+03 
       2.157666682082e-01       1.241294226844e+03 
       2.189822299333e-01       1.207846652479e+03 
       2.221977936748e-01       1.176783596582e+03 
       2.254133593457e-01       1.148494339716e+03 
       2.286289268641e-01       1.122960165000e+03 
       2.318444961525e-01       1.100154660820e+03 
       2.350600671378e-01       1.079858363890e+03 
       2.382756397509e-01       1.061786623823e+03 
       2.414912139262e-01       1.045458094170e+03 
       2.447067896019e-01       1.030322121159e+03 
       2.479223667191e-01       1.015873708326e+03 
       2.511379452221e-01       1.001619891535e+03 
       2.543535250581e-01       9.871918548604e+02 
       2.575691061767e-01       9.724135084506e+02 
       2.607846885304e-01       9.570360833374e+02 
       2.640002720735e-01       9.411053996734e+02 
       2.672158567631e-01       9.246898844448e+02 
       2.704314425579e-01       9.078980941260e+02 
       2.736470294187e-01       8.909965205767e+02 
       2.768626173081e-01       8.741920399856e+02 
       2.800782061907e-01       8.577728438292e+02 
       2.832937960323e-01       8.419668186928e+02 
       2.865093868004e-01       8.269724224164e+02 
       2.897249784641e-01       8.128889510701e+02 
       2.929405709937e-01       7.998494644506e+02 
       2.961561643608e-01       7.876989056600e+02 
       2.993717585384e-01       7.764845978059e+02 
       3.025873535003e-01       7.660206379012e+02 
       3.058029492219e-01       7.562067202979e+02 
       3.090185456791e-01       7.468276528826e+02 
       3.122341428492e-01       7.378286161864e+02 
       3.154497407103e-01       7.290140651568e+02 
       3.186653392414e-01       7.202710126593e+02 
       3.218809384222e-01       7.115139549768e+02 
       3.250965382334e-01       7.026756107936e+02 
       3.283121386564e-01       6.937343109100e+02 
       3.315277396733e-01       6.846735027484e+02 
       3.347433412668e-01       6.756047150098e+02 
       3.379589434205e-01       6.665949124825e+02 
       3.411745461185e-01       6.576510466226e+02 
       3.443901493454e-01       6.488792237195e+02 
       3.476057530865e-01       6.403300746021e+02 
       3.508213573275e-01       6.320605506365e+02 
       3.540369620549e-01       6.240920482918e+02 
       3.572525672553e-01       6.164953749251e+02 
       3.604681729161e-01       6.092306146058e+02 
       3.636837790251e-01       6.023068065491e+02 
       3.668993855703e-01       5.956970522980e+02 
       3.701149925404e-01       5.893438340637e+02 
       3.733305999243e-01       5.832392640768e+02 
       3.765462077115e-01       5.772946473642e+02 
       3.797618158915e-01       5.714407137396e+02 
       3.829774244545e-01       5.657248358001e+02 
       3.861930333909e-01       5.600268072491e+02 
       3.894086426913e-01       5.544003936389e+02 
       3.926242523468e-01       5.487998904940e+02 
       3.958398623488e-01       5.432326016770e+02 
       3.990554726887e-01       5.377028224140e+02 
       4.022710833585e-01       5.322083330324e+02 
       4.054866943503e-01       5.267891273757e+02 
       4.087023056564e-01       5.214643228745e+02 
       4.119179172695e-01       5.162054343330e+02 
       4.151335291824e-01       5.111093347081e+02 
       4.183491413881e-01       5.061276713521e+02 
       4.215647538800e-01       5.012782763818e+02 
       4.247803666515e-01       4.965659002995e+02 
       4.279959796963e-01       4.919858843003e+02 
       4.312115930082e-01       4.875297642101e+02 
       4.344272065813e-01       4.831930189600e+02 
       4.376428204099e-01       4.789686000384e+02 
       4.408584344882e-01       4.748422255412e+02 
       4.440740488109e-01       4.708109300908e+02 
       4.472896633727e-01       4.668323797120e+02 
       4.505052781684e-01       4.629551633309e+02 
       4.537208931931e-01       4.591133884747e+02 
       4.569365084418e-01       4.553142051681e+02 
       4.601521239099e-01       4.515558906654e+02 
       4.633677395928e-01       4.478394533653e+02 
       4.665833554861e-01       4.441671778278e+02 
       4.697989715854e-01       4.405411169592e+02 
       4.730145878864e-01       4.369624045816e+02 
       4.762302043851e-01       4.334209796964e+02 
       4.794458210776e-01       4.299632626695e+02 
       4.826614379598e-01       4.265520010031e+02 
       4.858770550281e-01       4.231970335281e+02 
       4.890926722787e-01       4.199142023387e+02 
       4.923082897081e-01       4.167010074440e+02 
       4.955239073128e-01       4.135570248621e+02 
       4.987395250893e-01       4.104785482128e+02 
       5.019551430344e-01       4.074604200156e+02 
       5.051707611448e-01       4.045003456006e+02 
       5.083863794175e-01       4.015863689058e+02 
       5.116019978492e-01       3.987161382456e+02 
       5.148176164370e-01       3.958788139143e+02 
       5.180332351781e-01       3.930938409702e+02 
       5.212488540695e-01       3.903466693166e+02 
       5.244644731085e-01       3.876458897846e+02 
       5.276800922924e-01       3.849649189190e+02 
       5.308957116186e-01       3.823148878578e+02 
       5.341113310844e-01       3.796844978998e+02 
       5.373269506873e-01       3.770983892604e+02 
       5.405425704250e-01       3.745474594811e+02 
       5.437581902949e-01       3.720439610351e+02 
       5.469738102948e-01       3.695690790397e+02 
       5.501894304224e-01       3.671310044166e+02 
       5.534050506755e-01       3.647309558890e+02 
       5.566206710517e-01       3.623646448227e+02 
       5.598362915492e-01       3.600331616677e+02 
       5.630519121656e-01       3.577363095044e+02 
       5.662675328991e-01       3.554741818181e+02 
       5.694831537476e-01       3.532465212878e+02 
       5.726987747092e-01       3.510502957540e+02 
       5.759143957820e-01       3.488863673398e+02 
       5.791300169641e-01       3.467506776960e+02 
       5.823456382538e-01       3.446411951379e+02 
       5.855612596491e-01       3.425493410742e+02 
       5.887768811485e-01       3.404903042267e+02 
       5.919925027502e-01       3.384569457874e+02 
       5.952081244525e-01       3.364487873599e+02 
       5.984237462538e-01       3.344652694792e+02 
       6.016393681525e-01       3.325054015227e+02 
       6.048549901471e-01       3.305681906612e+02 
       6.080706122360e-01       3.286600783917e+02 
       6.112862344178e-01       3.267666658479e+02 
       6.145018566910e-01       3.248960008397e+02 
       6.177174790541e-01       3.230489439247e+02 
       6.209331015057e-01       3.212256161787e+02 
       6.241487240446e-01       3.194260105379e+02 
       6.273643466692e-01       3.176488726754e+02 
       6.634437695867e-01       2.990725104649e+02 
       7.066254560180e-01       2.796145316026e+02 
       7.607051264702e-01       2.586598099254e+02 
       8.329801504165e-01       2.351593423513e+02 
       9.386058439256e-01       2.074760276017e+02 
       1.107638815605e+00       1.739637217004e+02 
       1.371849056638e+00       1.372203627372e+02 
       1.725488951249e+00       1.043494729919e+02 
       2.172238992278e+00       7.713706418933e+01 
       2.734686805193e+00       5.519867028107e+01 
       3.442766712333e+00       3.815044117863e+01 
       4.334186501036e+00       2.549916252269e+01 
       5.456417525609e+00       1.654623815656e+01 
       6.869222680348e+00       1.047416941878e+01 
       8.647838991563e+00       6.499217532498e+00 
       1.088698426358e+01       3.969971872959e+00 
       1.370590114723e+01       2.395929504648e+00 
       1.725470724578e+01       1.432831507363e+00 
       2.172238942479e+01       8.510385196938e-01 
       2.734686805175e+01       5.029228609568e-01 
       3.442766712333e+01       2.960933043636e-01 
