# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.5
# for k=1.04434e-05 to 34.4277 h/Mpc,
# number of wavenumbers equal to 581
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.044338378190e-05      -1.821898251307e+00      -1.366423988222e+00      -1.366423988208e+00      -1.821898237693e+00      -1.366625390580e+00       5.447773709103e-01       5.445257451380e-01 
       2.333130303764e-05      -1.825884319008e+00      -1.369420300632e+00      -1.369420301334e+00      -1.825883988958e+00      -1.369622141189e+00       5.447845000127e-01       5.445334153419e-01 
       3.626456150034e-05      -1.832977247756e+00      -1.374774177373e+00      -1.374774181203e+00      -1.832975321497e+00      -1.374976789257e+00       5.447810296120e-01       5.445309172361e-01 
       4.927799485904e-05      -1.843186721796e+00      -1.382531103522e+00      -1.382531117370e+00      -1.843180136161e+00      -1.382734807484e+00       5.447677891579e-01       5.445190880853e-01 
       6.240701531715e-05      -1.856476960214e+00      -1.392719959566e+00      -1.392719995403e+00      -1.856460060581e+00      -1.392925051584e+00       5.447598438619e-01       5.445129851072e-01 
       7.568792769349e-05      -1.872947850942e+00      -1.405493205637e+00      -1.405493283563e+00      -1.872911423608e+00      -1.405699964653e+00       5.447399406094e-01       5.444953774383e-01 
       8.915825563747e-05      -1.892614698554e+00      -1.420964567352e+00      -1.420964719013e+00      -1.892544843129e+00      -1.421173237680e+00       5.447133870377e-01       5.444715906696e-01 
       1.028570823015e-04      -1.915483567128e+00      -1.439263730042e+00      -1.439263997518e+00      -1.915360784655e+00      -1.439474509121e+00       5.446911110841e-01       5.444525450412e-01 
       1.168254098473e-04      -1.941628381018e+00      -1.460610178635e+00      -1.460610622368e+00      -1.941425861000e+00      -1.460823213703e+00       5.446651859156e-01       5.444303462201e-01 
       1.311065421956e-04      -1.971092854891e+00      -1.485240768988e+00      -1.485241471144e+00      -1.970774812964e+00      -1.485456138583e+00       5.446348422164e-01       5.444042492273e-01 
       1.457464954360e-04      -2.003910174970e+00      -1.513432328818e+00      -1.513433398487e+00      -2.003429994109e+00      -1.513650024489e+00       5.446005224032e-01       5.443747183735e-01 
