# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.418981512724e+04       1.418981512724e-10       1.418981512724e+18       2.675958164815e-09       2.751560535470e+44       2.465632524215e+33       1.331842117096e+34       3.487799415444e-08       1.903443976270e+44       4.655004511898e+44       4.655004511898e+44       1.551668170580e+44      -1.339118148791e+53       5.559574869229e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.418981512724e+04       1.428914383313e-10       1.409117688902e+18       2.694689871968e-09       2.675846458098e+44       2.414570767986e+33       1.304260473502e+34       3.487799415444e-08       1.851067333040e+44       4.526913791293e+44       4.526913791293e+44       1.508971263713e+44      -1.293217411572e+53       7.756289365300e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.418981512724e+04       1.438916783997e-10       1.399322431879e+18       2.713552701072e-09       2.602215788102e+44       2.364566469803e+33       1.277250029041e+34       3.487799415444e-08       1.800131926217e+44       4.402347714470e+44       4.402347714470e+44       1.467449238106e+44      -1.248890006534e+53       1.551257873059e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409265e-26       4.733010428026e-09       2.069108333218e+22       1.418981512724e+04       1.448989201485e-10       1.389595265024e+18       2.732547569980e-09       2.530611196824e+44       2.315597730349e+33       1.250798954525e+34       3.487799415444e-08       1.750598097619e+44       4.281209294592e+44       4.281209294592e+44       1.427069764814e+44      -1.206082004822e+53       2.326886809589e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563847e-26       4.765752237290e-09       2.040442161294e+22       1.418981512724e+04       1.459132125895e-10       1.379935715019e+18       2.751675402969e-09       2.460976933110e+44       2.267643103831e+33       1.224895665743e+34       3.487799415444e-08       1.702427280332e+44       4.163404213586e+44       4.163404213586e+44       1.387801404480e+44      -1.164741326094e+53       3.102515746118e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.418981512724e+04       1.469346050776e-10       1.370343311836e+18       2.770937130790e-09       2.393258779894e+44       2.220681588584e+33       1.199528818382e+34       3.487799415444e-08       1.655581968676e+44       4.048840748713e+44       4.048840748713e+44       1.349613582857e+44      -1.124817675156e+53       3.878144682647e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.418981512724e+04       1.479631473132e-10       1.360817588715e+18       2.790333690706e-09       2.327404011992e+44       2.174692617874e+33       1.174687303066e+34       3.487799415444e-08       1.610025689010e+44       3.937429701142e+44       3.937429701142e+44       1.312476567001e+44      -1.086262480774e+53       4.653773619176e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.418981512724e+04       1.489988893444e-10       1.351358082140e+18       2.809866026540e-09       2.263361355047e+44       2.129656050894e+33       1.150360240487e+34       3.487799415444e-08       1.565722971329e+44       3.829084326511e+44       3.829084326511e+44       1.276361442125e+44      -1.049028836584e+53       5.429402555705e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469154e-26       4.900357453153e-09       1.929694345585e+22       1.418981512724e+04       1.500418815698e-10       1.341964331817e+18       2.829535088726e-09       2.201080945604e+44       2.085552163938e+33       1.126536976640e+34       3.487799415444e-08       1.522639321645e+44       3.723720267382e+44       3.723720267382e+44       1.241240089083e+44      -1.013071444022e+53       6.205031492234e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364010e-26       4.934918251820e-09       1.902959665248e+22       1.418981512724e+04       1.510921747408e-10       1.332635880652e+18       2.849341834347e-09       2.140514292293e+44       2.042361641770e+33       1.103207078158e+34       3.487799415444e-08       1.480741195137e+44       3.621255487561e+44       3.621255487561e+44       1.207085162477e+44      -9.783465572161e+52       6.980660428763e-07       1.592850683960e+01 
       9.326212236469e+13       8.690109267061e-26       4.969479050487e-09       1.876595376800e+22       1.418981512724e+04       1.521498199639e-10       1.323372274729e+18       2.869287227187e-09       2.081614238068e+44       2.000065569156e+33       1.080360327744e+34       3.487799415444e-08       1.439995970030e+44       3.521610208226e+44       3.521610208226e+44       1.173870069366e+44      -9.448119297656e+52       7.756289365291e-07       1.433565615564e+01 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.418981512724e+04       1.532148687037e-10       1.314173063286e+18       2.889372237778e-09       2.024334923495e+44       1.958645422590e+33       1.057986719693e+34       3.487799415444e-08       1.400371922191e+44       3.424706845811e+44       3.424706845811e+44       1.141568948562e+44      -9.124267633419e+52       8.531918301820e-07       1.303241468694e+01 
       9.197003533823e+13       8.935999162357e-26       5.040419637226e-09       1.824957520492e+22       1.418981512724e+04       1.542873727846e-10       1.305037798696e+18       2.909597843442e-09       1.968631751041e+44       1.918083062171e+33       1.036076455514e+34       3.487799415444e-08       1.361838200436e+44       3.330469951600e+44       3.330469951600e+44       1.110156650492e+44      -8.811516580544e+52       9.307547238348e-07       1.194638012970e+01 
       9.133072029615e+13       9.061541014589e-26       5.074980435893e-09       1.799673901845e+22       1.418981512724e+04       1.553673843941e-10       1.295966036440e+18       2.929965028346e-09       1.914461350357e+44       1.878360723670e+33       1.014619939636e+34       3.487799415444e-08       1.324364802505e+44       3.238826152982e+44       3.238826152982e+44       1.079608717621e+44      -8.509485645163e+52       1.008317617488e-06       1.102742781203e+01 
       9.069584935070e+13       9.188846604303e-26       5.109541234560e-09       1.774740571556e+22       1.418981512724e+04       1.564549560849e-10       1.286957335095e+18       2.950474783544e-09       1.861781544502e+44       1.839461010741e+33       9.936077752061e+33       3.487799415444e-08       1.287922551705e+44       3.149704096325e+44       3.149704096325e+44       1.049901365402e+44      -8.217807375534e+52       1.085880511141e-06       1.023975439688e+01 
       9.006539160943e+13       9.317940710247e-26       5.145921022631e-09       1.750152676602e+22       1.418981512724e+04       1.575501407775e-10       1.278011256301e+18       2.971128107029e-09       1.810551317112e+44       1.801366887306e+33       9.730307599754e+33       3.487799415444e-08       1.252483074190e+44       3.063034391418e+44       3.063034391418e+44       1.021011463767e+44      -7.936126915000e+52       1.163443404793e-06       9.557104103757e+00 
       8.943931639467e+13       9.448848459285e-26       5.182300810702e-09       1.725905431199e+22       1.418981512724e+04       1.586529917629e-10       1.269127364747e+18       2.991926003778e-09       1.760730780460e+44       1.764061670095e+33       9.528798822673e+33       3.487799415444e-08       1.218018776871e+44       2.978749557444e+44       2.978749557444e+44       9.929165191103e+43      -7.664101570268e+52       1.241006298446e-06       8.959785097272e+00 
       8.881759324197e+13       9.581595331289e-26       5.218680598773e-09       1.701994115866e+22       1.418981512724e+04       1.597635627052e-10       1.260305228150e+18       3.012869485805e-09       1.712281144399e+44       1.727529021339e+33       9.331463170318e+33       3.487799415444e-08       1.184502825932e+44       2.896783970442e+44       2.896783970442e+44       9.655946567772e+43      -7.401400394487e+52       1.318569192099e-06       8.432738915079e+00 
       8.820019189868e+13       9.716207164098e-26       5.255060386844e-09       1.678414076505e+22       1.418981512724e+04       1.608819076442e-10       1.251544417230e+18       3.033959572205e-09       1.665164686165e+44       1.691752941611e+33       9.138214219804e+33       3.487799415444e-08       1.151909125938e+44       2.817073812211e+44       2.817073812211e+44       9.390246040343e+43      -7.147703784619e+52       1.396132085752e-06       7.964253419797e+00 
       8.758708232243e+13       9.852710158546e-26       5.291440174915e-09       1.655160723501e+22       1.418981512724e+04       1.620080809977e-10       1.242844505690e+18       3.055197289210e-09       1.619344721000e+44       1.656717762827e+33       8.948967338012e+33       3.487799415444e-08       1.120212299515e+44       2.739557020621e+44       2.739557020621e+44       9.131856735048e+43      -6.902703092609e+52       1.473694979405e-06       7.545082187175e+00 
       8.697823467967e+13       9.991130883563e-26       5.329638952389e-09       1.632229530823e+22       1.418981512724e+04       1.631421375647e-10       1.234205070199e+18       3.076583670235e-09       1.574785573594e+44       1.622408141375e+33       8.763639644521e+33       3.487799415444e-08       1.089387667592e+44       2.664173241290e+44       2.664173241290e+44       8.880577470620e+43      -6.666100249879e+52       1.551257873057e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149628135e-25       5.366018740460e-09       1.609616035145e+22       1.418981512724e+04       1.642841325276e-10       1.225625690366e+18       3.098119755926e-09       1.531452550306e+44       1.588809051403e+33       8.582149975315e+33       3.487799415444e-08       1.059411230189e+44       2.590863780597e+44       2.590863780597e+44       8.636212601650e+43      -6.437607404702e+52       1.628820766710e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383367260e-25       5.404217517935e-09       1.587315834980e+22       1.418981512724e+04       1.654341214553e-10       1.217105948725e+18       3.119806594218e-09       1.489311912151e+44       1.555905778235e+33       8.404418847237e+33       3.487799415444e-08       1.030259647727e+44       2.519571559978e+44       2.519571559978e+44       8.398571866260e+43      -6.216946571997e+52       1.706383660363e-06       6.516207343469e+00 
       8.517696811915e+13       1.041817076187e-25       5.440597306006e-09       1.565324589818e+22       1.418981512724e+04       1.665921603055e-10       1.208645430710e+18       3.141645240377e-09       1.448330848536e+44       1.523683911926e+33       8.230368423176e+33       3.487799415444e-08       1.001910222855e+44       2.450241071488e+44       2.450241071488e+44       8.167470237968e+43      -6.003849295134e+52       1.783946554016e-06       6.232893980709e+00 
       8.458487400115e+13       1.056453564290e-25       5.478796083480e-09       1.543638019285e+22       1.418981512724e+04       1.677583054276e-10       1.200243724637e+18       3.163636757059e-09       1.408477451704e+44       1.492129340953e+33       8.059922477980e+33       3.487799415444e-08       9.743408827823e+43       2.382818334582e+44       2.382818334582e+44       7.942727781622e+43      -5.798056319325e+52       1.861509447669e-06       5.973190064846e+00 
