# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dens[1]-dens[1]        7:dens[1]-dens[2]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[3]-dens[3]       11:T-dens[1]             12:T-dens[2]             13:T-dens[3]          
    2       1.092831297163e+03       5.497191386183e-02       0.000000000000e+00       3.558857972416e+00       9.227011786055e-07       5.710388015723e-07       4.216421080063e-07       2.596830019334e-07       2.079355416937e-07       5.693554272986e-09       3.848694072940e-09       2.446947613071e-09 
    3       1.030437520876e+03       9.401854180293e-02       0.000000000000e+00       4.507388586317e+00       2.308278805885e-06       1.437841188129e-06       1.053597620732e-06       6.507672740870e-07       5.111065032113e-07       7.756190913977e-09       5.295210895332e-09       3.390898523258e-09 
    4       9.686137144876e+02       1.108082447605e-01       0.000000000000e+00       4.681936967293e+00       4.545231883915e-06       2.852054579920e-06       2.088006329144e-06       1.295390620559e-06       1.008124128715e-06       9.528772498160e-09       6.571430368047e-09       4.241849154644e-09 
    5       9.195674473633e+02       1.035191920922e-01       0.000000000000e+00       4.400940519143e+00       7.752158292986e-06       4.900789245267e-06       3.595738334187e-06       2.242028176415e-06       1.738092657454e-06       1.106811923694e-08       7.709687598188e-09       5.018310673134e-09 
    6       8.833741808204e+02       8.075636298403e-02       0.000000000000e+00       3.886084761123e+00       1.201032195887e-05       7.648900782031e-06       5.632854593419e-06       3.530729409578e-06       2.734507776113e-06       1.241196675965e-08       8.730700981558e-09       5.730479242211e-09 
    7       8.581594263361e+02       5.411826280231e-02       0.000000000000e+00       3.288406121918e+00       1.737034440562e-05       1.114236210715e-05       8.242398474432e-06       5.193937527181e-06       4.025601447758e-06       1.358934767851e-08       9.650460527017e-09       6.387122392941e-09 
    8       8.410629741293e+02       3.223800754760e-02       0.000000000000e+00       2.700388995121e+00       2.385774807970e-05       1.541116980768e-05       1.145606169587e-05       7.257306191833e-06       5.634776349171e-06       1.461848416085e-08       1.047617410799e-08       6.989977460908e-09 
    9       8.306560746954e+02       1.858325977731e-02       0.000000000000e+00       2.177141080265e+00       3.147753404143e-05       2.047181316347e-05       1.529566093507e-05       9.740449926883e-06       7.581043077225e-06       1.551032825505e-08       1.121297985718e-08       7.539947326549e-09 
   10       8.254572658618e+02       1.227306656090e-02       0.000000000000e+00       1.749637608030e+00       4.021798639207e-05       2.632937455879e-05       1.977443060462e-05       1.265761725234e-05       9.879432112798e-06       1.627834533428e-08       1.186939855700e-08       8.044119758396e-09 
   11       8.241448974435e+02       1.034385274930e-02       0.000000000000e+00       1.432290489201e+00       5.005385941395e-05       3.297932775753e-05       2.489815465733e-05       1.601829053870e-05       1.254137259321e-05       1.694532318234e-08       1.245871595833e-08       8.509905467542e-09 
   12       8.263063452895e+02       9.908414249510e-03       0.000000000000e+00       1.224558465837e+00       6.094906858583e-05       4.040908876188e-05       3.066616188193e-05       1.982772111425e-05       1.557503713664e-05       1.752699697055e-08       1.299227204086e-08       8.941724357230e-09 
   13       8.306567572267e+02       9.319604558526e-03       0.000000000000e+00       1.114806917189e+00       7.285897413228e-05       4.859936110370e-05       3.707220582964e-05       2.408740913518e-05       1.898565539804e-05       1.802019272759e-08       1.346687952602e-08       9.337589457376e-09 
   14       8.366713516281e+02       8.247924241124e-03       0.000000000000e+00       1.084716140697e+00       8.573232873446e-05       5.752530690113e-05       4.410524434083e-05       2.879553577741e-05       2.277580017773e-05       1.842689961523e-08       1.387606011647e-08       9.690485008101e-09 
   15       8.444012113887e+02       7.110204523911e-03       0.000000000000e+00       1.111833343581e+00       9.951294333614e-05       6.715756964116e-05       5.175013106025e-05       3.394735235411e-05       2.694564925149e-05       1.876695136236e-08       1.423217415960e-08       1.000489661171e-08 
   16       8.535315011497e+02       6.403949134990e-03       0.000000000000e+00       1.173802133167e+00       1.141411206906e-04       7.746317318964e-05       5.998823099035e-05       3.953553006243e-05       3.149322456636e-05       1.905107393562e-08       1.455205595514e-08       1.029845832074e-08 
   17       8.634208666099e+02       6.316278711759e-03       0.000000000000e+00       1.251942177585e+00       1.295548895112e-04       8.840631858647e-05       6.879797418451e-05       4.555047572149e-05       3.641460952713e-05       1.927390026776e-08       1.483270879483e-08       1.057481211838e-08 
   18       8.742297996084e+02       6.676411907060e-03       0.000000000000e+00       1.330651459800e+00       1.456912641559e-04       9.994918931602e-05       7.815540881140e-05       5.198064328702e-05       4.170415751798e-05       1.944368632531e-08       1.506886030071e-08       1.081765368097e-08 
   19       8.859843234679e+02       7.228131523887e-03       0.000000000000e+00       1.402290380175e+00       1.624861731663e-04       1.120520991653e-04       8.803440424884e-05       5.881268313738e-05       4.735461798117e-05       1.957113467154e-08       1.526820114928e-08       1.103035889269e-08 
   20       8.981739143495e+02       7.688696158824e-03       0.000000000000e+00       1.461375668697e+00       1.798773037909e-04       1.246750681411e-04       9.840760755271e-05       6.603193607724e-05       5.335742402333e-05       1.965972701109e-08       1.543801303215e-08       1.122189171384e-08 
   21       9.109028477374e+02       8.050568577231e-03       0.000000000000e+00       1.507657421813e+00       1.978021958501e-04       1.377770459445e-04       1.092461443199e-04       7.362234872501e-05       5.970269691477e-05       1.970946162768e-08       1.557678939478e-08       1.139264031392e-08 
   22       9.242207240770e+02       8.423740925144e-03       0.000000000000e+00       1.543482485634e+00       2.162010849270e-04       1.513174938858e-04       1.205205861824e-04       8.156697800584e-05       6.637954712823e-05       1.971732536152e-08       1.567958114891e-08       1.153980667272e-08 
   23       9.380259851674e+02       8.965025288637e-03       0.000000000000e+00       1.572548737267e+00       2.350152725758e-04       1.652557095943e-04       1.322006843565e-04       8.984791689251e-05       7.337606886248e-05       1.969600044128e-08       1.575811050188e-08       1.167042204967e-08 
   24       9.520270790522e+02       9.840226083809e-03       0.000000000000e+00       1.599533984517e+00       2.541896289380e-04       1.795522455961e-04       1.442562537052e-04       9.844676222732e-05       8.067962829637e-05       1.965838301071e-08       1.582507354665e-08       1.179145661073e-08 
   25       9.662765968135e+02       1.107019421485e-02       0.000000000000e+00       1.628085679426e+00       2.736705492359e-04       1.941679908311e-04       1.566567543436e-04       1.073444677589e-04       8.827681521851e-05       1.959854415507e-08       1.587114871832e-08       1.189432612210e-08 
   26       9.808240591703e+02       1.261541911468e-02       0.000000000000e+00       1.661369574923e+00       2.934085229886e-04       2.090656302409e-04       1.693722077210e-04       1.165218272746e-04       9.615374232181e-05       1.950458577800e-08       1.588141485467e-08       1.196732411938e-08 
