# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04434e-05 to 34.4277 h/Mpc,
# number of wavenumbers equal to 581
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044338378190e-05       3.342633941086e+01 
       2.333130303764e-05       6.487029604285e+01 
       3.626456150034e-05       9.949963306034e+01 
       4.927799485904e-05       1.345639105751e+02 
       6.240701531715e-05       1.688443699273e+02 
       7.568792769349e-05       2.038161475390e+02 
       8.915825563747e-05       2.391357272864e+02 
       1.028570823015e-04       2.744416769807e+02 
       1.168254098473e-04       3.102757850458e+02 
       1.311065421956e-04       3.467724902101e+02 
       1.457464954360e-04       3.840288530857e+02 
       1.607944402520e-04       4.221983131754e+02 
       1.763031805370e-04       4.613700550845e+02 
       1.923296720049e-04       5.017369888344e+02 
       2.089355839335e-04       5.433961875367e+02 
       2.261879060954e-04       5.865650449734e+02 
       2.441596012511e-04       6.313758448629e+02 
       2.629303010886e-04       6.780327649951e+02 
       2.825870399120e-04       7.267366789690e+02 
       3.032250153838e-04       7.776986455857e+02 
       3.249483588246e-04       8.311682476442e+02 
       3.478708885634e-04       8.873952117011e+02 
       3.721168082392e-04       9.466661537700e+02 
       3.978212975195e-04       1.009283219082e+03 
       4.251309254506e-04       1.075570631847e+03 
       4.542037971382e-04       1.145863614011e+03 
       4.852093240400e-04       1.220529655024e+03 
       5.183274894265e-04       1.299951955930e+03 
       5.537474676877e-04       1.384513420369e+03 
       5.916654550508e-04       1.474614640669e+03 
       6.322815873841e-04       1.570647419848e+03 
       6.757958660680e-04       1.672988676554e+03 
       7.224030918441e-04       1.781987279706e+03 
       7.722869207764e-04       1.897950062099e+03 
       8.256132990724e-04       2.021123043034e+03 
       8.825236860299e-04       2.151684207904e+03 
       9.431286065835e-04       2.289716301290e+03 
       1.007502149755e-03       2.435211516740e+03 
       1.075678013165e-03       2.588046352959e+03 
       1.147647569835e-03       2.748005693454e+03 
       1.223360212424e-03       2.914757753303e+03 
       1.302725951760e-03       3.087891030681e+03 
       1.385619970074e-03       3.266903818377e+03 
       1.471888614043e-03       3.451240990043e+03 
       1.561356198792e-03       3.640321679512e+03 
       1.653831991542e-03       3.833544144928e+03 
       1.749116833919e-03       4.030285558266e+03 
       1.847009008762e-03       4.229945219696e+03 
       1.947309120826e-03       4.431941117100e+03 
       2.049823909406e-03       4.635723874510e+03 
       2.154369025832e-03       4.840782589261e+03 
       2.260770884333e-03       5.046638009853e+03 
       2.368867734073e-03       5.252844614206e+03 
       2.478510111406e-03       5.459044732980e+03 
       2.589560823709e-03       5.664857829405e+03 
       2.701894597817e-03       5.869970275086e+03 
       2.815397503264e-03       6.074106704781e+03 
       2.929966237363e-03       6.277029618451e+03 
       3.045507338073e-03       6.478518554259e+03 
       3.161936372647e-03       6.678371184196e+03 
       3.279177135512e-03       6.876440772840e+03 
       3.397160877577e-03       7.072581068274e+03 
       3.515825580634e-03       7.266662870384e+03 
       3.635115284348e-03       7.458559833010e+03 
       3.754979468977e-03       7.648213695007e+03 
       3.875372493938e-03       7.835535232458e+03 
       3.996253090442e-03       8.020471484874e+03 
       4.117583905166e-03       8.202916501392e+03 
       4.239331091335e-03       8.382891523750e+03 
       4.361463943222e-03       8.560313800900e+03 
       4.483954570095e-03       8.735177350894e+03 
       4.606777605700e-03       8.907452811587e+03 
       4.729909949615e-03       9.077116959149e+03 
       4.853330537061e-03       9.244163778729e+03 
       4.977020134047e-03       9.408561555909e+03 
       5.100961155014e-03       9.570335558977e+03 
       5.225137500440e-03       9.729487358310e+03 
       5.349534412126e-03       9.886004081507e+03 
       5.474138344151e-03       1.003994279937e+04 
       5.598936847676e-03       1.019127021249e+04 
       5.723918468035e-03       1.033989740467e+04 
       5.849072652688e-03       1.048598472969e+04 
       5.974389668808e-03       1.062946546858e+04 
       6.099860529404e-03       1.077043059270e+04 
       6.225476927025e-03       1.090882229482e+04 
       6.351231174180e-03       1.104469350737e+04 
       6.477116149748e-03       1.117801168016e+04 
       6.603125250698e-03       1.130888655026e+04 
       6.729252348555e-03       1.143724076939e+04 
       6.855491750083e-03       1.156317099937e+04 
       6.981838161740e-03       1.168667853525e+04 
       7.108286657509e-03       1.180778087759e+04 
       7.234832649736e-03       1.192648813987e+04 
       7.361471862671e-03       1.204286105138e+04 
       7.488200308436e-03       1.215634197918e+04 
       7.615014265164e-03       1.226798988274e+04 
       7.741910257091e-03       1.237739053810e+04 
       7.868885036417e-03       1.248450483807e+04 
       7.995935566744e-03       1.258937720948e+04 
       8.123059007952e-03       1.269197426732e+04 
       8.250252702366e-03       1.279242933721e+04 
       8.377514162088e-03       1.289070679277e+04 
       8.504841057398e-03       1.298679876210e+04 
       8.632231206107e-03       1.308076398740e+04 
       8.759682563781e-03       1.317263910824e+04 
       8.887193214760e-03       1.326246144321e+04 
       9.014761363898e-03       1.335021268866e+04 
       9.142385328955e-03       1.343587046855e+04 
       9.270063533586e-03       1.351953394264e+04 
       9.397794500883e-03       1.360119908039e+04 
       9.525576847403e-03       1.368089716882e+04 
       9.653409277665e-03       1.375865728911e+04 
       9.781290579052e-03       1.383446931740e+04 
       9.909219617106e-03       1.390836810483e+04 
       1.003719533117e-02       1.398045513642e+04 
       1.016521673033e-02       1.405065887947e+04 
       1.029328288971e-02       1.411901224016e+04 
       1.042139294698e-02       1.418555525470e+04 
       1.054954609914e-02       1.425026203627e+04 
       1.067774159953e-02       1.431323080061e+04 
       1.080597875507e-02       1.437438344353e+04 
       1.093425692366e-02       1.443382750318e+04 
       1.106257551183e-02       1.449150820710e+04 
       1.119093397245e-02       1.454753630933e+04 
       1.131933180272e-02       1.460185573209e+04 
       1.144776854222e-02       1.465454109962e+04 
       1.157624377113e-02       1.470555653769e+04 
       1.170475710854e-02       1.475494470201e+04 
       1.183330821093e-02       1.480274655443e+04 
       1.196189677072e-02       1.484896028566e+04 
       1.209052251493e-02       1.489359410266e+04 
       1.221918520393e-02       1.493667770544e+04 
       1.234788463031e-02       1.497821821285e+04 
       1.247662061774e-02       1.501826277992e+04 
       1.260539302005e-02       1.505680360260e+04 
       1.273420172024e-02       1.509388135408e+04 
       1.286304662966e-02       1.512948908826e+04 
       1.299192768719e-02       1.516365366294e+04 
       1.312084485851e-02       1.519640067357e+04 
       1.324979813543e-02       1.522773231055e+04 
       1.337878753524e-02       1.525767304707e+04 
       1.350781310015e-02       1.528624918554e+04 
       1.363687489673e-02       1.531346066688e+04 
       1.376597301546e-02       1.533934674509e+04 
       1.389510757027e-02       1.536389315386e+04 
       1.402427869810e-02       1.538714800746e+04 
       1.415348655858e-02       1.540911150516e+04 
       1.428273133367e-02       1.542978761326e+04 
       1.441201322736e-02       1.544921478243e+04 
       1.454133246540e-02       1.546739202154e+04 
       1.467068929510e-02       1.548434193637e+04 
       1.480008398506e-02       1.550009534802e+04 
       1.492951682504e-02       1.551463829268e+04 
       1.505898812581e-02       1.552800927787e+04 
       1.518849821898e-02       1.554023412445e+04 
       1.531804745694e-02       1.555130425712e+04 
       1.544763621277e-02       1.556029584410e+04 
       1.557726488019e-02       1.556908251248e+04 
       1.570693387353e-02       1.557684433558e+04 
       1.583664362769e-02       1.558371144708e+04 
       1.596639459822e-02       1.558919435087e+04 
       1.609618726127e-02       1.559343483037e+04 
       1.622602211371e-02       1.559660699771e+04 
       1.635589967316e-02       1.559893299041e+04 
       1.648582047810e-02       1.560062279385e+04 
       1.661578508796e-02       1.560151863121e+04 
       1.674579408327e-02       1.560094452354e+04 
       1.687584806580e-02       1.559931853713e+04 
       1.700594765871e-02       1.559667239205e+04 
       1.713609350673e-02       1.559302792372e+04 
       1.726628627638e-02       1.558891504317e+04 
       1.739652665615e-02       1.558344505876e+04 
       1.752681535677e-02       1.557714133407e+04 
       1.765715311143e-02       1.556910297815e+04 
       1.778754067605e-02       1.556154692163e+04 
       1.791797882955e-02       1.555288626594e+04 
       1.804846837419e-02       1.554220759891e+04 
       1.817901013583e-02       1.553142495640e+04 
       1.830960496431e-02       1.551958429396e+04 
       1.844025373374e-02       1.550764943821e+04 
       1.857095734293e-02       1.549452062507e+04 
       1.870171671573e-02       1.548048732799e+04 
       1.883253280144e-02       1.546562845629e+04 
       1.896340657521e-02       1.545055035425e+04 
       1.909433903850e-02       1.543427730079e+04 
       1.922533121952e-02       1.541716466235e+04 
       1.935638417370e-02       1.539957100430e+04 
       1.948749898414e-02       1.538074431983e+04 
       1.961867676219e-02       1.536153247460e+04 
       1.974991864791e-02       1.534172441671e+04 
       1.988122581061e-02       1.532138888459e+04 
       2.001259944948e-02       1.529947850587e+04 
       2.014404079409e-02       1.527756825888e+04 
       2.027555110504e-02       1.525499480644e+04 
       2.040713167456e-02       1.523210458948e+04 
       2.053878382717e-02       1.520880672285e+04 
       2.067050892033e-02       1.518447827014e+04 
       2.080230834512e-02       1.515940723548e+04 
       2.093418352697e-02       1.513354339017e+04 
       2.106613592638e-02       1.510608298019e+04 
       2.119816703967e-02       1.507956942569e+04 
       2.133027839978e-02       1.505200415884e+04 
       2.146247157702e-02       1.502441748302e+04 
       2.159474817996e-02       1.499603909505e+04 
       2.172710985628e-02       1.496718919405e+04 
       2.185955829360e-02       1.493766211840e+04 
       2.199209522044e-02       1.490734749972e+04 
       2.212472240715e-02       1.487582301134e+04 
       2.225744166686e-02       1.484466489230e+04 
       2.239025485649e-02       1.481412044917e+04 
       2.252316387780e-02       1.478208951395e+04 
       2.265617067839e-02       1.474941822280e+04 
       2.278927725288e-02       1.471507590945e+04 
       2.292248564396e-02       1.468209848603e+04 
       2.305579794361e-02       1.464870460978e+04 
       2.318921629429e-02       1.461399254321e+04 
       2.332274289013e-02       1.457948896976e+04 
       2.345637997829e-02       1.454444025308e+04 
       2.359012986022e-02       1.450860875131e+04 
       2.372399489303e-02       1.447173185299e+04 
       2.385797749090e-02       1.443536538142e+04 
       2.399208012654e-02       1.439856946423e+04 
       2.412630533265e-02       1.436258565233e+04 
       2.426065570350e-02       1.432502405310e+04 
       2.439513389651e-02       1.428584578383e+04 
       2.452974263387e-02       1.424841492290e+04 
       2.466448470426e-02       1.421020920117e+04 
       2.479936296461e-02       1.417148423854e+04 
       2.493438034187e-02       1.413099664085e+04 
       2.506953983493e-02       1.409272209346e+04 
       2.520484451652e-02       1.405192494637e+04 
       2.534029753519e-02       1.401171666399e+04 
       2.547590211743e-02       1.397133061619e+04 
       2.561166156972e-02       1.393063201651e+04 
       2.574757928080e-02       1.388971022177e+04 
       2.588365872393e-02       1.384853465792e+04 
       2.601990345922e-02       1.380728081240e+04 
       2.615631713609e-02       1.376615113663e+04 
       2.629290349579e-02       1.372444583935e+04 
       2.642966637401e-02       1.368091531403e+04 
       2.656660970357e-02       1.363847668086e+04 
       2.670373751720e-02       1.359577263674e+04 
       2.684105395049e-02       1.355311602294e+04 
       2.697856324482e-02       1.351003676768e+04 
       2.711626975052e-02       1.346682028467e+04 
       2.725417793003e-02       1.342327776300e+04 
       2.739229236131e-02       1.337986041057e+04 
       2.753061774122e-02       1.333672713404e+04 
       2.766915888917e-02       1.329271571752e+04 
       2.780792075077e-02       1.324726987244e+04 
       2.794690840176e-02       1.320354532656e+04 
       2.808612705196e-02       1.315936298669e+04 
       2.822558204945e-02       1.311469753425e+04 
       2.836527888486e-02       1.306985590070e+04 
       2.850522319589e-02       1.302479735480e+04 
       2.864542077193e-02       1.297890308474e+04 
       2.878587755891e-02       1.293368511181e+04 
       2.892659966432e-02       1.288896626465e+04 
       2.906759336245e-02       1.284354796315e+04 
       2.920886509984e-02       1.279798019325e+04 
       2.935042150088e-02       1.275226174303e+04 
       2.949226937379e-02       1.270569126544e+04 
       2.963441571664e-02       1.266030854527e+04 
       2.977686772386e-02       1.261369773859e+04 
       2.991963279276e-02       1.256807145310e+04 
       3.006271853056e-02       1.252207051355e+04 
       3.020613276159e-02       1.247608302263e+04 
       3.034988353477e-02       1.242958709574e+04 
       3.049397913157e-02       1.238241047950e+04 
       3.063842807411e-02       1.233595564240e+04 
       3.078323913382e-02       1.228997556376e+04 
       3.092842134029e-02       1.224353870363e+04 
       3.107398399069e-02       1.219692984243e+04 
       3.121993665951e-02       1.214940108881e+04 
       3.136628920873e-02       1.210325741959e+04 
       3.151305179859e-02       1.205669304956e+04 
       3.166023489868e-02       1.200887016222e+04 
       3.180784929968e-02       1.196279814935e+04 
       3.195590612562e-02       1.191599681997e+04 
       3.210441684670e-02       1.186832423087e+04 
       3.225339329275e-02       1.182133200491e+04 
       3.240284766735e-02       1.177436938851e+04 
       3.255279256263e-02       1.172734446902e+04 
       3.270324097482e-02       1.168109393147e+04 
       3.285420632055e-02       1.163315778266e+04 
       3.300570245401e-02       1.158694298631e+04 
       3.315774368499e-02       1.154005379710e+04 
       3.331034479778e-02       1.149292024047e+04 
       3.346352107116e-02       1.144488792539e+04 
       3.361728829939e-02       1.139778956776e+04 
       3.377166281429e-02       1.135089052727e+04 
       3.392666150860e-02       1.130384079208e+04 
       3.408230186049e-02       1.125680029490e+04 
       3.423860195953e-02       1.120971049647e+04 
       3.439558053405e-02       1.116253451164e+04 
       3.455325698002e-02       1.111640077476e+04 
       3.471165139164e-02       1.106890326737e+04 
       3.487078459362e-02       1.102144370199e+04 
       3.503067817538e-02       1.097446601622e+04 
       3.519135452726e-02       1.092762117855e+04 
       3.535283687883e-02       1.088067527780e+04 
       3.551514933961e-02       1.083375660357e+04 
       3.567831694219e-02       1.078683299524e+04 
       3.584236568800e-02       1.074038373495e+04 
       3.600732259604e-02       1.069383450917e+04 
       3.617321575456e-02       1.064664161409e+04 
       3.634007437612e-02       1.060008707022e+04 
       3.650792885624e-02       1.055238631912e+04 
       3.667681083580e-02       1.050655966854e+04 
       3.684675326770e-02       1.045974340348e+04 
       3.701779048792e-02       1.041297305537e+04 
       3.718995829148e-02       1.036625762299e+04 
       3.736329401363e-02       1.031881893252e+04 
       3.753783661670e-02       1.027218032530e+04 
       3.771362678319e-02       1.022624001466e+04 
       3.789070701547e-02       1.017973051607e+04 
       3.806912174282e-02       1.013313385733e+04 
       3.824891743640e-02       1.008571087353e+04 
       3.843014273275e-02       1.003975119939e+04 
       3.861284856687e-02       9.993490307841e+03 
       3.879708831544e-02       9.946578105075e+03 
       3.898291795133e-02       9.900299079255e+03 
       3.917039621047e-02       9.853830524350e+03 
       3.935958477209e-02       9.806565254345e+03 
       3.955054845392e-02       9.760061371796e+03 
       3.974335542356e-02       9.713602433486e+03 
       3.993807742780e-02       9.667328672929e+03 
       4.013479004175e-02       9.620889822454e+03 
       4.033357293975e-02       9.574061173806e+03 
       4.053451019039e-02       9.528262559192e+03 
       4.073769057829e-02       9.481925401978e+03 
       4.094320795551e-02       9.434562635965e+03 
       4.115116162595e-02       9.388334852433e+03 
       4.136165676638e-02       9.341560071705e+03 
       4.157480488843e-02       9.294962414676e+03 
       4.179072434631e-02       9.248380420939e+03 
       4.200954089569e-02       9.201727177217e+03 
       4.223138831001e-02       9.155221289246e+03 
       4.245640906142e-02       9.108756939222e+03 
       4.268475507436e-02       9.062144609013e+03 
       4.291658856129e-02       9.014822339038e+03 
       4.315208295139e-02       8.967496557225e+03 
       4.339142392460e-02       8.920413787117e+03 
       4.363481056553e-02       8.873428406899e+03 
       4.388245665405e-02       8.826222799355e+03 
       4.413459211199e-02       8.778895652375e+03 
       4.439146462884e-02       8.731411042706e+03 
       4.465334149311e-02       8.684477484069e+03 
       4.492051166088e-02       8.636381946003e+03 
       4.519328809836e-02       8.588092418476e+03 
       4.547201044250e-02       8.540181716954e+03 
       4.575704803142e-02       8.491895760584e+03 
       4.604880336690e-02       8.443537679051e+03 
       4.634771608273e-02       8.394814607730e+03 
       4.665426750824e-02       8.345689481839e+03 
       4.696898593402e-02       8.297049478842e+03 
       4.729245270980e-02       8.247822358475e+03 
       4.762530933221e-02       8.197774776123e+03 
       4.796826571511e-02       8.147729875705e+03 
       4.832210987844e-02       8.097196086068e+03 
       4.868771934632e-02       8.046232567956e+03 
       4.906607461385e-02       7.994246084085e+03 
       4.945827512877e-02       7.942710208157e+03 
       4.986555834474e-02       7.890339805463e+03 
       5.028932254297e-02       7.837260886200e+03 
       5.073115429761e-02       7.782947070296e+03 
       5.119286168841e-02       7.728830390417e+03 
       5.167651465378e-02       7.673277330852e+03 
       5.218449424519e-02       7.617235089861e+03 
       5.271955300582e-02       7.559874949547e+03 
       5.328488926750e-02       7.500697149017e+03 
       5.388423884693e-02       7.440745048392e+03 
       5.452198840588e-02       7.379606828176e+03 
       5.520331554591e-02       7.315613039761e+03 
       5.593436133683e-02       7.250341072228e+03 
       5.672244098420e-02       7.181606266078e+03 
       5.757629678758e-02       7.110789343423e+03 
       5.850639257840e-02       7.034978079264e+03 
       5.952523698015e-02       6.955374720063e+03 
       6.064769802934e-02       6.869415562606e+03 
       6.189122446356e-02       6.775648024476e+03 
       6.327580785120e-02       6.671645676587e+03 
       6.482340043442e-02       6.555652977919e+03 
       6.655637724308e-02       6.423079116838e+03 
       6.849462003702e-02       6.270054011432e+03 
       7.065116192839e-02       6.092079271394e+03 
       7.302731324637e-02       5.885135136800e+03 
       7.560948228140e-02       5.647529757655e+03 
       7.837015341704e-02       5.382460697265e+03 
       8.127342540703e-02       5.095377503732e+03 
       8.428245120759e-02       4.797114302377e+03 
       8.736522550163e-02       4.498786469323e+03 
       9.049708937032e-02       4.212080170235e+03 
       9.366057376854e-02       3.946291787944e+03 
       9.684398431351e-02       3.708137383062e+03 
       1.000397761648e-01       3.501934441831e+03 
       1.032431945506e-01       3.328035729840e+03 
       1.064512865600e-01       3.184405682947e+03 
       1.096622347422e-01       3.067711515422e+03 
       1.128749265697e-01       2.973084997914e+03 
       1.160886832038e-01       2.894022123329e+03 
       1.193030911673e-01       2.824803110497e+03 
       1.225178988169e-01       2.759170446345e+03 
       1.257329530161e-01       2.692749578591e+03 
       1.289481605232e-01       2.621159250967e+03 
       1.321634644954e-01       2.542330912213e+03 
       1.353788302075e-01       2.455394480493e+03 
       1.385942363767e-01       2.361208854262e+03 
       1.418096698951e-01       2.261456622383e+03 
       1.450251226306e-01       2.159215525573e+03 
       1.482405894850e-01       2.057330639359e+03 
       1.514560672138e-01       1.958944338045e+03 
       1.546715537092e-01       1.866573166009e+03 
       1.578870475638e-01       1.782374153200e+03 
       1.611025478054e-01       1.707542575557e+03 
       1.643180537342e-01       1.642653251091e+03 
       1.675335648243e-01       1.587599881762e+03 
       1.707490806624e-01       1.541199320633e+03 
       1.739646009106e-01       1.502164627789e+03 
       1.771801252826e-01       1.468773791425e+03 
       1.803956535290e-01       1.439225642780e+03 
       1.836111854284e-01       1.411836423219e+03 
       1.868267207805e-01       1.384843671106e+03 
       1.900422594027e-01       1.356863943111e+03 
       1.932578011267e-01       1.326637255518e+03 
       1.964733457967e-01       1.293590869144e+03 
       1.996888932680e-01       1.258024860106e+03 
       2.029044434054e-01       1.220022992818e+03 
       2.061199960828e-01       1.180397626353e+03 
       2.093355511819e-01       1.140260869041e+03 
       2.125511085918e-01       1.100535470009e+03 
       2.157666682082e-01       1.062163938286e+03 
       2.189822299333e-01       1.025842766946e+03 
       2.221977936748e-01       9.921586620164e+02 
       2.254133593457e-01       9.615686854233e+02 
       2.286289268641e-01       9.340658268394e+02 
       2.318444961525e-01       9.096339578514e+02 
       2.350600671378e-01       8.880346743094e+02 
       2.382756397509e-01       8.689526231874e+02 
       2.414912139262e-01       8.518434994641e+02 
       2.447067896019e-01       8.360796082128e+02 
       2.479223667191e-01       8.210823855336e+02 
       2.511379452221e-01       8.062840294470e+02 
       2.543535250581e-01       7.912575016015e+02 
       2.575691061767e-01       7.757969576912e+02 
       2.607846885304e-01       7.596108509884e+02 
       2.640002720735e-01       7.427484736755e+02 
       2.672158567631e-01       7.252855112367e+02 
       2.704314425579e-01       7.073447347798e+02 
       2.736470294187e-01       6.892342769385e+02 
       2.768626173081e-01       6.711944904253e+02 
       2.800782061907e-01       6.535629602689e+02 
       2.832937960323e-01       6.366089239818e+02 
       2.865093868004e-01       6.205690563679e+02 
       2.897249784641e-01       6.055647886625e+02 
       2.929405709937e-01       5.917584247842e+02 
       2.961561643608e-01       5.789719138242e+02 
       2.993717585384e-01       5.672661657598e+02 
       3.025873535003e-01       5.564250566125e+02 
       3.058029492219e-01       5.463329080526e+02 
       3.090185456791e-01       5.367361666391e+02 
       3.122341428492e-01       5.275712878220e+02 
       3.154497407103e-01       5.186058793069e+02 
       3.186653392414e-01       5.097050458054e+02 
       3.218809384222e-01       5.007660215805e+02 
       3.250965382334e-01       4.917072583832e+02 
       3.283121386564e-01       4.825015773615e+02 
       3.315277396733e-01       4.731277303285e+02 
       3.347433412668e-01       4.637191870735e+02 
       3.379589434205e-01       4.543563825978e+02 
       3.411745461185e-01       4.450474797071e+02 
       3.443901493454e-01       4.359213719669e+02 
       3.476057530865e-01       4.270403553838e+02 
       3.508213573275e-01       4.184749824138e+02 
       3.540369620549e-01       4.102528712888e+02 
       3.572525672553e-01       4.024625067041e+02 
       3.604681729161e-01       3.950569814773e+02 
       3.636837790251e-01       3.880493240082e+02 
       3.668993855703e-01       3.814083144945e+02 
       3.701149925404e-01       3.750646297379e+02 
       3.733305999243e-01       3.690099046879e+02 
       3.765462077115e-01       3.631354182957e+02 
       3.797618158915e-01       3.573557860269e+02 
       3.829774244545e-01       3.517303108293e+02 
       3.861930333909e-01       3.461095597016e+02 
       3.894086426913e-01       3.405605482764e+02 
       3.926242523468e-01       3.350261523732e+02 
       3.958398623488e-01       3.295153664268e+02 
       3.990554726887e-01       3.240334625708e+02 
       4.022710833585e-01       3.185775474906e+02 
       4.054866943503e-01       3.131980574884e+02 
       4.087023056564e-01       3.079194259054e+02 
       4.119179172695e-01       3.027058710974e+02 
       4.151335291824e-01       2.976808118311e+02 
       4.183491413881e-01       2.927835751006e+02 
       4.215647538800e-01       2.880375477482e+02 
       4.247803666515e-01       2.834495788610e+02 
       4.279959796963e-01       2.790145075366e+02 
       4.312115930082e-01       2.747222420513e+02 
       4.344272065813e-01       2.705676932075e+02 
       4.376428204099e-01       2.665424685132e+02 
       4.408584344882e-01       2.626287423376e+02 
       4.440740488109e-01       2.588232253644e+02 
       4.472896633727e-01       2.550714003578e+02 
       4.505052781684e-01       2.514367987822e+02 
       4.537208931931e-01       2.478339546192e+02 
       4.569365084418e-01       2.442722852440e+02 
       4.601521239099e-01       2.407496523414e+02 
       4.633677395928e-01       2.372674940737e+02 
       4.665833554861e-01       2.338289482394e+02 
       4.697989715854e-01       2.304368797240e+02 
       4.730145878864e-01       2.270929669795e+02 
       4.762302043851e-01       2.237840429244e+02 
       4.794458210776e-01       2.205720058327e+02 
       4.826614379598e-01       2.174077023079e+02 
       4.858770550281e-01       2.143045001851e+02 
       4.890926722787e-01       2.112839524011e+02 
       4.923082897081e-01       2.083431728444e+02 
       4.955239073128e-01       2.054820489537e+02 
       4.987395250893e-01       2.026960383312e+02 
       5.019551430344e-01       1.999785938510e+02 
       5.051707611448e-01       1.973269944898e+02 
       5.083863794175e-01       1.947253501820e+02 
       5.116019978492e-01       1.921707193316e+02 
       5.148176164370e-01       1.896485275148e+02 
       5.180332351781e-01       1.871855760495e+02 
       5.212488540695e-01       1.847622175711e+02 
       5.244644731085e-01       1.823904944220e+02 
       5.276800922924e-01       1.800339868151e+02 
       5.308957116186e-01       1.777081365874e+02 
       5.341113310844e-01       1.753974031500e+02 
       5.373269506873e-01       1.731361169506e+02 
       5.405425704250e-01       1.709118742258e+02 
       5.437581902949e-01       1.687420276594e+02 
       5.469738102948e-01       1.666005270561e+02 
       5.501894304224e-01       1.644990409063e+02 
       5.534050506755e-01       1.624395289891e+02 
       5.566206710517e-01       1.604161874483e+02 
       5.598362915492e-01       1.584307801246e+02 
       5.630519121656e-01       1.564832621326e+02 
       5.662675328991e-01       1.545740047502e+02 
       5.694831537476e-01       1.527028843588e+02 
       5.726987747092e-01       1.508658013543e+02 
       5.759143957820e-01       1.490642104292e+02 
       5.791300169641e-01       1.472924939432e+02 
       5.823456382538e-01       1.455479036248e+02 
       5.855612596491e-01       1.438181764070e+02 
       5.887768811485e-01       1.421254502758e+02 
       5.919925027502e-01       1.404595782578e+02 
       5.952081244525e-01       1.388200338675e+02 
       5.984237462538e-01       1.372061679464e+02 
       6.016393681525e-01       1.356166923499e+02 
       6.048549901471e-01       1.340503029936e+02 
       6.080706122360e-01       1.325166685004e+02 
       6.112862344178e-01       1.309946852619e+02 
       6.145018566910e-01       1.294963700833e+02 
       6.177174790541e-01       1.280231667923e+02 
       6.209331015057e-01       1.265754320804e+02 
       6.241487240446e-01       1.251533364442e+02 
       6.273643466692e-01       1.237551786383e+02 
       6.634437695867e-01       1.094882069180e+02 
       7.066254560180e-01       9.524183709982e+01 
       7.607051264702e-01       8.082161742910e+01 
       8.329801504165e-01       6.591134856857e+01 
       9.386058439256e-01       5.025436105519e+01 
       1.107638815605e+00       3.431806186959e+01 
       1.371849056638e+00       2.079374755029e+01 
       1.725488951249e+00       1.203722308150e+01 
       2.172238992278e+00       6.891368828177e+00 
       2.734686805193e+00       3.913592648560e+00 
       3.442766712333e+00       2.206235926375e+00 
       4.334186501036e+00       1.235483463182e+00 
       5.456417525609e+00       6.876471270870e-01 
       6.869222680348e+00       3.806345781452e-01 
       8.647838991563e+00       2.096157389702e-01 
       1.088698426358e+01       1.148915441137e-01 
       1.370590114723e+01       6.269932727301e-02 
       1.725470724578e+01       3.407588594407e-02 
       2.172238942479e+01       1.845225558588e-02 
       2.734686805175e+01       9.953549511305e-03 
       3.442766712333e+01       5.349511038898e-03 
