# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.5
# for k=1.04434e-05 to 34.4277 h/Mpc,
# number of wavenumbers equal to 581
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_idm_dr/k2           4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2               7:-T_idr/k2              8:-T_ncdm/k2             9:-T_tot/k2          
       1.044338378190e-05       2.751306360574e+10       0.000000000000e+00       2.751306360603e+10       3.668407676092e+10       3.668407648682e+10       0.000000000000e+00       0.000000000000e+00       2.751711885970e+10 
       2.333130303764e-05       5.524522205977e+09       0.000000000000e+00       5.524522203145e+09       7.365991621476e+09       7.365990289988e+09       0.000000000000e+00       0.000000000000e+00       5.525336469326e+09 
       3.626456150034e-05       2.295632989144e+09       0.000000000000e+00       2.295632982748e+09       3.060752155396e+09       3.060748938879e+09       0.000000000000e+00       0.000000000000e+00       2.295971309239e+09 
       4.927799485904e-05       1.250272877210e+09       0.000000000000e+00       1.250272864687e+09       1.666860396082e+09       1.666854440454e+09       0.000000000000e+00       0.000000000000e+00       1.250457081545e+09 
       6.240701531715e-05       7.852951886563e+08       0.000000000000e+00       7.852951684495e+08       1.046787889539e+09       1.046778360560e+09       0.000000000000e+00       0.000000000000e+00       7.854108110590e+08 
       7.568792769349e-05       5.387800374716e+08       0.000000000000e+00       5.387800075996e+08       7.179734866854e+08       7.179595226767e+08       0.000000000000e+00       0.000000000000e+00       5.388592663422e+08 
       8.915825563747e-05       3.925510286394e+08       0.000000000000e+00       3.925509867421e+08       5.228474970521e+08       5.228281990227e+08       0.000000000000e+00       0.000000000000e+00       3.926086333190e+08 
       1.028570823015e-04       2.987500668492e+08       0.000000000000e+00       2.987500113287e+08       3.975996375333e+08       3.975741514015e+08       0.000000000000e+00       0.000000000000e+00       2.987937630408e+08 
       1.168254098473e-04       2.350151063804e+08       0.000000000000e+00       2.350150349829e+08       3.124118047125e+08       3.123792188455e+08       0.000000000000e+00       0.000000000000e+00       2.350493127422e+08 
       1.311065421956e-04       1.897510950953e+08       0.000000000000e+00       1.897510053893e+08       2.518223703125e+08       2.517817379944e+08       0.000000000000e+00       0.000000000000e+00       1.897785205222e+08 
       1.457464954360e-04       1.564598909217e+08       0.000000000000e+00       1.564597803385e+08       2.071657515331e+08       2.071161100720e+08       0.000000000000e+00       0.000000000000e+00       1.564822858818e+08 
       1.607944402520e-04       1.312707041127e+08       0.000000000000e+00       1.312705699905e+08       1.732791194481e+08       1.732194832949e+08       0.000000000000e+00       0.000000000000e+00       1.312892477393e+08 
       1.763031805370e-04       1.117602329132e+08       0.000000000000e+00       1.117600709420e+08       1.469294973222e+08       1.468588423222e+08       0.000000000000e+00       0.000000000000e+00       1.117757460520e+08 
       1.923296720049e-04       9.634959795515e+07       0.000000000000e+00       9.634940731490e+07       1.260094017620e+08       1.259267181211e+08       0.000000000000e+00       0.000000000000e+00       9.636266826008e+07 
       2.089355839335e-04       8.397319641800e+07       0.000000000000e+00       8.397297246876e+07       1.090963414049e+08       1.090005974173e+08       0.000000000000e+00       0.000000000000e+00       8.398425313318e+07 
       2.261879060954e-04       7.389177725104e+07       0.000000000000e+00       7.389151572423e+07       9.520172497252e+07       9.509187542740e+07       0.000000000000e+00       0.000000000000e+00       7.390113942244e+07 
       2.441596012511e-04       6.557854590176e+07       0.000000000000e+00       6.557824339042e+07       8.362116100750e+07       8.349620860155e+07       0.000000000000e+00       0.000000000000e+00       6.558645418843e+07 
       2.629303010886e-04       5.865051504953e+07       0.000000000000e+00       5.865016611064e+07       7.384154004678e+07       7.370051532608e+07       0.000000000000e+00       0.000000000000e+00       5.865715226002e+07 
       2.825870399120e-04       5.282357684718e+07       0.000000000000e+00       5.282317674201e+07       6.548185006360e+07       6.532387519725e+07       0.000000000000e+00       0.000000000000e+00       5.282908306734e+07 
       3.032250153838e-04       4.788339302559e+07       0.000000000000e+00       4.788293585222e+07       5.825454992007e+07       5.807887056690e+07       0.000000000000e+00       0.000000000000e+00       4.788787581298e+07 
       3.249483588246e-04       4.366590775131e+07       0.000000000000e+00       4.366538723762e+07       5.193940821180e+07       5.174545061226e+07       0.000000000000e+00       0.000000000000e+00       4.366944979855e+07 
       3.478708885634e-04       4.004366926105e+07       0.000000000000e+00       4.004307842982e+07       4.636580338324e+07       4.615324592844e+07       0.000000000000e+00       0.000000000000e+00       4.004633410735e+07 
       3.721168082392e-04       3.691657384839e+07       0.000000000000e+00       3.691590517645e+07       4.140068383744e+07       4.116954904166e+07       0.000000000000e+00       0.000000000000e+00       3.691841044101e+07 
       3.978212975195e-04       3.420501865212e+07       0.000000000000e+00       3.420426498044e+07       3.693975820782e+07       3.669052018368e+07       0.000000000000e+00       0.000000000000e+00       3.420606515999e+07 
       4.251309254506e-04       3.184504523910e+07       0.000000000000e+00       3.184419436541e+07       3.290147319022e+07       3.263516700769e+07       0.000000000000e+00       0.000000000000e+00       3.184533136501e+07 
       4.542037971382e-04       2.978475430738e+07       0.000000000000e+00       2.978379815026e+07       2.922295703298e+07       2.894135353132e+07       0.000000000000e+00       0.000000000000e+00       2.978430567877e+07 
       4.852093240400e-04       2.798166968714e+07       0.000000000000e+00       2.798059858745e+07       2.585673557307e+07       2.556245578829e+07       0.000000000000e+00       0.000000000000e+00       2.798050962880e+07 
       5.183274894265e-04       2.640068396201e+07       0.000000000000e+00       2.639948552962e+07       2.276860412625e+07       2.246526009058e+07       0.000000000000e+00       0.000000000000e+00       2.639883595067e+07 
       5.537474676877e-04       2.501251596812e+07       0.000000000000e+00       2.501117755627e+07       1.993599806291e+07       1.962831265277e+07       0.000000000000e+00       0.000000000000e+00       2.501000661122e+07 
       5.916654550508e-04       2.379255582520e+07       0.000000000000e+00       2.379106859121e+07       1.734622718834e+07       1.704005467846e+07       0.000000000000e+00       0.000000000000e+00       2.378941779938e+07 
       6.322815873841e-04       2.271989845399e+07       0.000000000000e+00       2.271824752282e+07       1.499475239419e+07       1.469700675080e+07       0.000000000000e+00       0.000000000000e+00       2.271617092232e+07 
